Company Name,year,ROA,Cash,wc,Inventory,Inventory^2,PPE,Debt,,"Note: This data is only IE 302's final project, and it can't be shared via any platform, including web-based systems, due to confidentiality and registered trademark restrictions."
PARK ELEKTRIK URETIM MADENCI,2000,0.203090202,0.000869782,0.070123353,0.32442387,0.105250847,0.295834746,0.357068565,,
PARK ELEKTRIK URETIM MADENCI,2001,0.248431388,0.008862843,0.35541377,0.046633431,0.002174677,0.186575343,0.546278443,,
PARK ELEKTRIK URETIM MADENCI,2002,0.239677732,0.00154515,0.512606699,0.015842591,0.000250988,0.136045396,0.764111413,,
PARK ELEKTRIK URETIM MADENCI,2003,0.074884847,0.003767791,0.569077739,0.004125731,1.70217E-05,0.166884885,0.846641485,,
PARK ELEKTRIK URETIM MADENCI,2004,-0.014492303,0.015114735,0.646987427,0.005124694,2.62625E-05,0.181418316,0.917942653,,
PARK ELEKTRIK URETIM MADENCI,2005,0.083036106,0.29989458,0.311077923,0.008108583,6.57491E-05,0.199385048,0.878371255,,
PARK ELEKTRIK URETIM MADENCI,2006,0.161888521,0.099639022,0.430850059,0.034836641,0.001213592,0.203556677,0.663284948,,
PARK ELEKTRIK URETIM MADENCI,2007,0.100681864,0.164446367,0.495623855,0.044575616,0.001986986,0.194672298,0.729976593,,
PARK ELEKTRIK URETIM MADENCI,2008,0.263719184,0.00992088,0.610646884,0.026826904,0.000719683,0.149229061,0.787372465,,
PARK ELEKTRIK URETIM MADENCI,2009,0.057875122,0.000309827,0.626187547,0.020436678,0.000417658,0.172392015,0.91070721,,
PARK ELEKTRIK URETIM MADENCI,2010,0.098963187,0.058651557,0.665168515,0.037673002,0.001419255,0.150537577,0.912097217,,
PARK ELEKTRIK URETIM MADENCI,2011,0.208418026,0.106950159,0.544145473,0.077431709,0.00599567,0.126301373,0.916036637,,
PARK ELEKTRIK URETIM MADENCI,2012,0.213234593,0.406003116,0.525266655,0.087511326,0.007658232,0.133846111,0.89508258,,
PARK ELEKTRIK URETIM MADENCI,2013,0.118546757,0.003572511,0.466756136,0.040612274,0.001649357,0.137575041,0.89048466,,
PARK ELEKTRIK URETIM MADENCI,2014,0.036980671,0.018804834,0.468517628,0.054198553,0.002937483,0.196145768,0.901337883,,
PARK ELEKTRIK URETIM MADENCI,2015,0.055207251,4.72099E-05,0.342760835,0.086267586,0.007442096,0.203993957,0.824713436,,
PARK ELEKTRIK URETIM MADENCI,2016,-0.040402408,0.006008533,0.17839963,0.107593926,0.011576453,0.388266709,0.876642789,,
PARK ELEKTRIK URETIM MADENCI,2017,-0.009578818,0.000157264,0.366129381,0.003039079,9.236E-06,0.021982264,0.903934055,,
PARK ELEKTRIK URETIM MADENCI,2018,0.074480321,0.000335154,0.01888668,0.002452717,6.01582E-06,0.007864689,0.919921087,,
PARK ELEKTRIK URETIM MADENCI,2019,0.007179456,0.011002008,0.011812906,0.001662518,2.76397E-06,0.012487474,0.866470965,,
PARK ELEKTRIK URETIM MADENCI,2020,0.075860582,0.061508615,0.092468916,0.003135188,9.8294E-06,0.12760139,0.898464804,,
PARK ELEKTRIK URETIM MADENCI,2021,0.230843622,0.010828894,0.007209312,0.005878543,3.45573E-05,0.121625583,0.867683033,,
PARK ELEKTRIK URETIM MADENCI,2022,0.26309873,0.09839549,0.054405031,0.008676547,7.52825E-05,0.162599966,0.858755459,,
